60,quh,Quechua-Bolivia,Latin,True,44
61,quz,Quechua-Peru,Latin,True,44
62,quc,Quiché,Latin,True,44
64,qvi,Quichua-Ecuador,Latin,True,44
78,acr,Rabinal Achi,Latin,True,44
886,rar,Rarotongan,Latin,True,44
171,ron,Romanian,Cyrillic,True,44
887,rtm,Rotuman,Latin,True,44
173,rus,Russian,Cyrillic,True,44
890,smo,Samoan,Latin,True,44
202,srp,Serbian,Cyrillic,True,44
725,crs,Seychellese Creole French,Latin,True,44
731,sna,Shona,Latin,True,44
408,sin,Sinhala,Brahmi,True,44
176,slk,Slovak,Latin,True,44
177,slv,Slovenian,Latin,True,44
891,pis,Solomonese,Latin,True,44
734,som,Somali,Latin,True,44
738,nso,"Sotho, Northern",Latin,True,44
739,sot,"Sotho, Southern",Latin,True,44
2,spa,Spanish,Latin,True,44
178,spa-es,Spanish-Spain,Latin,True,44
66,srn,Sranan,Latin,True,44
743,swa,Swahili,Latin,True,44
744,swc,Swahili-Shaba,Latin,True,44
745,ssw,Swazi,Latin,True,44
180,swe,Swedish,Latin,True,44
893,tgl,Tagalog,Latin,True,44
895,tah,Tahitian,Latin,True,44
181,tgk,Tajiki,Arabic,True,44
418,tam,Tamil,Tamil,True,44
421,tel,Telugu,Brahmi,True,44
425,tha,Thai,Mon,True,44
427,bod,Tibetan,Tibetan,True,44
878,tpi,Tok Pisin,Latin,True,44
900,ton,Tongan,Latin,True,44
760,lua,Tshiluba,Latin,True,44
763,tsn,Tswana,Latin,True,44
186,tur,Turkish,Latin,True,44
187,tuk,Turkmen,Latin,True,44
902,tvl,Tuvaluan,Latin,True,44
503,twi,Twi,Latin,True,44
69,tzo,Tzotzil,Latin,True,44
70,tzj,Tzutujil,Latin,True,44
192,ukr,Ukrainian,Cyrillic,True,44
434,urd,Urdu,Arabic,True,44
193,uzb,Uzbek,Arabic,True,44
435,vie,Vietnamese,Latin,True,44
904,war,Waray,Latin,True,44
194,cym,Welsh,Latin,True,44
773,wol,Wolof,Latin,True,44
774,xho,Xhosa,Latin,True,44
905,yap,Yapese,Latin,True,44
779,yor,Yoruba,Latin,True,44
82,esu,Yupik,Latin,True,44
783,zul,Zulu,Latin,True,44
