Character,Loop Numbers
President Susan H. Porter,1,3,5,7,10,12,15,98,100,102,104
Trishtan,2,4,6
Girl 1,8
Boy 1,9,11
Boy 1 ,13
Girl 2,14,16,17
Louie,18,20,22,24,26,28,30,32,74,75,76,86,95,96,97,136,138,140,142,143
Sister Amy A. Wright,19,21,23,25,27,29,31,33,87,88,90,91,92,93,135,137,139,141
VO Child,34,85,94
Sister Tracy Y. Browning,35,37,39,41,43,45,47,50,52,53,55,58,60,62,64,66,68,70,72,73
Declan,36,42,44,48,51,54
Daisy,38,40,46,49,61,63,65,69,71
Dad,56,59
Mom,57,67
Teen Girl,77,78,79,80,81,82,83,84
Girl 3,89
Francine,99,101
Girl 4,103
President Dallin H. Oaks,105,106,107,109,111,116,132,133
Sister Kirstin Oaks,108,110,112,114,117,119,121,125,127,129,130
Girl 5,113
Boy 2,115,126
Girl 6,118,128
Girl 7,120
Boy 3,122
Sister Kirsten Oaks,123
Boy 4,124
Group,131,134
